mean_test_score,std_test_score,rank_test_score,C,class_weight,solver,dataset,model,run_id,metric,n_neighbors,weights,max_depth,min_samples_split,n_estimators
0.8429525452501438,0.011836182777994343,10,,balanced_subsample,,baseline,RandomForest,1,,,,20,2.0,200.0
0.8337540890058339,0.01492243636316451,51,,balanced_subsample,,baseline,RandomForest,1,,,,20,5.0,50.0
0.8428342048932823,0.012701539996695023,12,,balanced_subsample,,baseline,RandomForest,1,,,,20,5.0,100.0
0.8435599279884911,0.011251512648136036,7,,balanced_subsample,,baseline,RandomForest,1,,,,20,5.0,200.0
0.8334949766888563,0.01213526961549052,52,,,,baseline,RandomForest,1,,,,,2.0,50.0
0.8396368831737048,0.01194478969448661,38,,,,baseline,RandomForest,1,,,,,2.0,100.0
0.8398056918544784,0.014272796838807066,36,,,,baseline,RandomForest,1,,,,,2.0,200.0
0.8380205311829956,0.014138136456668683,44,,,,baseline,RandomForest,1,,,,,5.0,50.0
0.8421167118863624,0.012454124089488433,18,,,,baseline,RandomForest,1,,,,,5.0,100.0
0.8400793604896062,0.014172753509028085,35,,,,baseline,RandomForest,1,,,,,5.0,200.0
0.8396512420470312,0.009468390871340514,37,,,,baseline,RandomForest,1,,,,10,2.0,50.0
0.841847187107931,0.008972785028149336,20,,,,baseline,RandomForest,1,,,,10,2.0,100.0
0.8414943012051849,0.008061113107108496,22,,,,baseline,RandomForest,1,,,,10,2.0,200.0
0.8439894572432645,0.006012075035586543,6,,,,baseline,RandomForest,1,,,,10,5.0,50.0
0.8467578058991542,0.00891829182145722,2,,,,baseline,RandomForest,1,,,,10,5.0,100.0
0.8460260930729773,0.007528424471925259,3,,,,baseline,RandomForest,1,,,,10,5.0,200.0
0.8318827646541525,0.012663574234256209,54,,,,baseline,RandomForest,1,,,,20,2.0,50.0
0.8371662417470409,0.012209013971089842,46,,,,baseline,RandomForest,1,,,,20,2.0,100.0
0.8390595891862622,0.014400351195720234,39,,,,baseline,RandomForest,1,,,,20,2.0,200.0
0.8402137941037873,0.01443451408187964,34,,,,baseline,RandomForest,1,,,,20,5.0,50.0
0.8429254167024558,0.013265300208994246,11,,,,baseline,RandomForest,1,,,,20,5.0,100.0
0.842152332431113,0.011646334465372547,17,,,,baseline,RandomForest,1,,,,20,5.0,200.0
0.8366628744033408,0.011966516783281462,43,,balanced,,baseline,RandomForest,2,,,,,2.0,50.0
0.8401070258083767,0.004737819616918878,17,,balanced,,baseline,RandomForest,2,,,,,2.0,100.0
0.8400754762216849,0.005934441253078228,18,,balanced,,baseline,RandomForest,2,,,,,2.0,200.0
0.8375697915006283,0.012544280706350506,34,,balanced,,baseline,RandomForest,2,,,,,5.0,50.0
0.8373314860928252,0.005466482715743562,37,,balanced,,baseline,RandomForest,2,,,,,5.0,100.0
0.8395100178135927,0.00876928128354042,21,,balanced,,baseline,RandomForest,2,,,,,5.0,200.0
0.8376161816403748,0.006009874839672419,33,,balanced,,baseline,RandomForest,2,,,,10,2.0,50.0
0.8373555163404319,0.005017798794180003,36,,balanced,,baseline,RandomForest,2,,,,10,2.0,100.0
0.8395311796621778,0.007509763525022051,20,,balanced,,baseline,RandomForest,2,,,,10,2.0,200.0
0.8405426729505127,0.015981313186289006,15,,balanced,,baseline,RandomForest,2,,,,10,5.0,50.0
0.8387959156532873,0.009493519739195726,24,,balanced,,baseline,RandomForest,2,,,,10,5.0,100.0
0.841734326813371,0.009735910555970714,5,,balanced,,baseline,RandomForest,2,,,,10,5.0,200.0
0.8370174945260599,0.014525509456850157,41,,balanced,,baseline,RandomForest,2,,,,20,2.0,50.0
0.8371425255347609,0.007452205740469155,38,,balanced,,baseline,RandomForest,2,,,,20,2.0,100.0
0.838489084421832,0.006585661095270071,29,,balanced,,baseline,RandomForest,2,,,,20,2.0,200.0
0.8351593831965107,0.008115811755995714,50,,balanced,,baseline,RandomForest,2,,,,20,5.0,50.0
0.8370391343492918,0.0060775250114648875,40,,balanced,,baseline,RandomForest,2,,,,20,5.0,100.0
0.8411349945045007,0.00842994866615845,10,,balanced,,baseline,RandomForest,2,,,,20,5.0,200.0
0.8386235644814766,0.007912021163811435,26,,balanced_subsample,,baseline,RandomForest,2,,,,,2.0,50.0
0.8374544724776036,0.0076369780754649485,35,,balanced_subsample,,baseline,RandomForest,2,,,,,2.0,100.0
0.8406339168495265,0.005775832225035082,14,,balanced_subsample,,baseline,RandomForest,2,,,,,2.0,200.0
0.8412913783634244,0.009257062189316776,9,,balanced_subsample,,baseline,RandomForest,2,,,,,5.0,50.0
0.8411253218019287,0.008697204959092346,11,,balanced_subsample,,baseline,RandomForest,2,,,,,5.0,100.0
0.8407039058364095,0.006315805826057323,13,,balanced_subsample,,baseline,RandomForest,2,,,,,5.0,200.0
0.8415745437206498,0.007708703285605896,6,,balanced_subsample,,baseline,RandomForest,2,,,,10,2.0,50.0
0.8376221402769468,0.005419283674903385,32,,balanced_subsample,,baseline,RandomForest,2,,,,10,2.0,100.0
0.83927958404091,0.006952552679801533,23,,balanced_subsample,,baseline,RandomForest,2,,,,10,2.0,200.0
0.8361852058201702,0.010517014704898684,44,,balanced_subsample,,baseline,RandomForest,2,,,,10,5.0,50.0
0.8354088467715985,0.006464166071712352,49,,balanced_subsample,,baseline,RandomForest,2,,,,10,5.0,100.0
0.8386549703088413,0.008575621277651286,25,,balanced_subsample,,baseline,RandomForest,2,,,,10,5.0,200.0
0.8359641865708278,0.011049308984913356,46,,balanced_subsample,,baseline,RandomForest,2,,,,20,2.0,50.0
0.8354942080192049,0.00910031738280532,48,,balanced_subsample,,baseline,RandomForest,2,,,,20,2.0,100.0
0.8415305847056198,0.00549984539552187,7,,balanced_subsample,,baseline,RandomForest,2,,,,20,2.0,200.0
0.8414742975862707,0.00874993513750922,8,,balanced_subsample,,baseline,RandomForest,2,,,,20,5.0,50.0
0.838159200106311,0.005900407189433375,31,,balanced_subsample,,baseline,RandomForest,2,,,,20,5.0,100.0
0.8419863149509006,0.004583664971242766,4,,balanced_subsample,,baseline,RandomForest,2,,,,20,5.0,200.0
0.8337826160209134,0.0035609688301772345,53,,,,baseline,RandomForest,2,,,,,2.0,50.0
0.8341196270601104,0.003867679070331138,52,,,,baseline,RandomForest,2,,,,,2.0,100.0
0.8371045825419413,0.004316518539001612,39,,,,baseline,RandomForest,2,,,,,2.0,200.0
0.8360416066084027,0.01009199965545376,45,,,,baseline,RandomForest,2,,,,,5.0,50.0
0.8386028154078838,0.0037782515079249164,27,,,,baseline,RandomForest,2,,,,,5.0,100.0
0.8369720144566829,0.0046559686161255715,42,,,,baseline,RandomForest,2,,,,,5.0,200.0
0.8385894903359837,0.010680404079864,28,,,,baseline,RandomForest,2,,,,10,2.0,50.0
0.8399028727502852,0.010982416258371389,19,,,,baseline,RandomForest,2,,,,10,2.0,100.0
0.8421349369066903,0.007660981349495959,3,,,,baseline,RandomForest,2,,,,10,2.0,200.0
0.8411210867748006,0.006859816037619269,12,,,,baseline,RandomForest,2,,,,10,5.0,50.0
0.8424535830117124,0.006354902650372072,2,,,,baseline,RandomForest,2,,,,10,5.0,100.0
0.8454495371781043,0.006060836706449076,1,,,,baseline,RandomForest,2,,,,10,5.0,200.0
0.8299128076732089,0.0059739296153133075,54,,,,baseline,RandomForest,2,,,,20,2.0,50.0
0.8344434625903826,0.004391753036764246,51,,,,baseline,RandomForest,2,,,,20,2.0,100.0
0.8356655797258746,0.0049145549010638275,47,,,,baseline,RandomForest,2,,,,20,2.0,200.0
0.8381808503542795,0.00903797421927536,30,,,,baseline,RandomForest,2,,,,20,5.0,50.0
0.8394788268288949,0.005913099217097253,22,,,,baseline,RandomForest,2,,,,20,5.0,100.0
0.8402025540438128,0.005545874591767187,16,,,,baseline,RandomForest,2,,,,20,5.0,200.0
0.8412391325265564,0.01246366042476113,17,,balanced,,baseline,RandomForest,3,,,,,2.0,50.0
0.8389919604205319,0.008821937319341996,32,,balanced,,baseline,RandomForest,3,,,,,2.0,100.0
0.8422965872669657,0.010042173116813088,9,,balanced,,baseline,RandomForest,3,,,,,2.0,200.0
0.8352732874914288,0.005473293660546514,51,,balanced,,baseline,RandomForest,3,,,,,5.0,50.0
0.8369924226580929,0.011273157454975875,43,,balanced,,baseline,RandomForest,3,,,,,5.0,100.0
0.8412876815619958,0.013369645803048483,16,,balanced,,baseline,RandomForest,3,,,,,5.0,200.0
0.835617685763242,0.010192457912249792,50,,balanced,,baseline,RandomForest,3,,,,10,2.0,50.0
0.8376954890489443,0.010874407089339577,39,,balanced,,baseline,RandomForest,3,,,,10,2.0,100.0
0.8387049742909601,0.01239977522967406,34,,balanced,,baseline,RandomForest,3,,,,10,2.0,200.0
0.8403810923132005,0.009089768510197303,26,,balanced,,baseline,RandomForest,3,,,,10,5.0,50.0
0.8434679077772028,0.01016199326177016,2,,balanced,,baseline,RandomForest,3,,,,10,5.0,100.0
0.8434432355210693,0.011503221156526258,3,,balanced,,baseline,RandomForest,3,,,,10,5.0,200.0
0.8457397609522527,0.009405532248695388,1,,balanced,,baseline,RandomForest,3,,,,20,2.0,50.0
0.8414492382071952,0.008330356178964382,12,,balanced,,baseline,RandomForest,3,,,,20,2.0,100.0
0.8423181520783485,0.012542056602350488,8,,balanced,,baseline,RandomForest,3,,,,20,2.0,200.0
0.8381898852079109,0.006458274855299881,36,,balanced,,baseline,RandomForest,3,,,,20,5.0,50.0
0.8402567255676587,0.01219968266040737,28,,balanced,,baseline,RandomForest,3,,,,20,5.0,100.0
0.8414221222085672,0.013856132556676636,14,,balanced,,baseline,RandomForest,3,,,,20,5.0,200.0
0.8314929748280309,0.013491185213741073,54,,balanced_subsample,,baseline,RandomForest,3,,,,,2.0,50.0
0.8365094556211619,0.0130949855831203,47,,balanced_subsample,,baseline,RandomForest,3,,,,,2.0,100.0
0.8392241815852837,0.013393525185218318,31,,balanced_subsample,,baseline,RandomForest,3,,,,,2.0,200.0
0.8367520219484396,0.016069505843251407,44,,balanced_subsample,,baseline,RandomForest,3,,,,,5.0,50.0
0.8392523450906204,0.016962182499580637,30,,balanced_subsample,,baseline,RandomForest,3,,,,,5.0,100.0
0.8397718978887303,0.016269865940074867,29,,balanced_subsample,,baseline,RandomForest,3,,,,,5.0,200.0
0.8404450529579963,0.008781919184411539,25,,balanced_subsample,,baseline,RandomForest,3,,,,10,2.0,50.0
0.8433093761021644,0.009360057620860809,4,,balanced_subsample,,baseline,RandomForest,3,,,,10,2.0,100.0
0.8414320737989032,0.011413468415651362,13,,balanced_subsample,,baseline,RandomForest,3,,,,10,2.0,200.0
0.8371726681044857,0.010502260863063153,41,,balanced_subsample,,baseline,RandomForest,3,,,,10,5.0,50.0
0.8403756020699124,0.01034908319899152,27,,balanced_subsample,,baseline,RandomForest,3,,,,10,5.0,100.0
0.8424061005508557,0.010520233895972293,7,,balanced_subsample,,baseline,RandomForest,3,,,,10,5.0,200.0
0.8340643321520872,0.014925578623656179,52,,balanced_subsample,,baseline,RandomForest,3,,,,20,2.0,50.0
0.8360311527655642,0.013514877889904426,49,,balanced_subsample,,baseline,RandomForest,3,,,,20,2.0,100.0
0.8413844895606335,0.012518566665143992,15,,balanced_subsample,,baseline,RandomForest,3,,,,20,2.0,200.0
0.8380737063920357,0.018537410675927568,37,,balanced_subsample,,baseline,RandomForest,3,,,,20,5.0,50.0
0.8385074574548259,0.016711064272368816,35,,balanced_subsample,,baseline,RandomForest,3,,,,20,5.0,100.0
0.8409735563438814,0.014143476390479186,19,,balanced_subsample,,baseline,RandomForest,3,,,,20,5.0,200.0
0.8366859294413327,0.015569956606121716,46,,,,baseline,RandomForest,3,,,,,2.0,50.0
0.8378060525334506,0.015286151149099295,38,,,,baseline,RandomForest,3,,,,,2.0,100.0
0.836695439155833,0.014155765861753024,45,,,,baseline,RandomForest,3,,,,,2.0,200.0
0.8361825192906499,0.009660212262759232,48,,,,baseline,RandomForest,3,,,,,5.0,50.0
0.8427018913375963,0.012218547874889043,6,,,,baseline,RandomForest,3,,,,,5.0,100.0
0.8404953048910357,0.0110078954579672,22,,,,baseline,RandomForest,3,,,,,5.0,200.0
0.840653777996752,0.014335466659610021,20,,,,baseline,RandomForest,3,,,,10,2.0,50.0
0.8409836315848637,0.014640306611247999,18,,,,baseline,RandomForest,3,,,,10,2.0,100.0
0.840613207798935,0.016487369080028708,21,,,,baseline,RandomForest,3,,,,10,2.0,200.0
0.840489930918773,0.007286143312770167,23,,,,baseline,RandomForest,3,,,,10,5.0,50.0
0.8418004287320358,0.012766696956519672,10,,,,baseline,RandomForest,3,,,,10,5.0,100.0
0.8431400193495344,0.009237707719927131,5,,,,baseline,RandomForest,3,,,,10,5.0,200.0
0.8329754853882768,0.01782193394568373,53,,,,baseline,RandomForest,3,,,,20,2.0,50.0
0.8375129944076128,0.016455962759921353,40,,,,baseline,RandomForest,3,,,,20,2.0,100.0
0.8389775017654364,0.014041623950897345,33,,,,baseline,RandomForest,3,,,,20,2.0,200.0
0.8371581800670086,0.011159081497480816,42,,,,baseline,RandomForest,3,,,,20,5.0,50.0
0.8404710744392059,0.011504769512869321,24,,,,baseline,RandomForest,3,,,,20,5.0,100.0
0.841615226392296,0.012944522289673351,11,,,,baseline,RandomForest,3,,,,20,5.0,200.0
0.7309640088051148,0.021119068458814817,10,0.01,balanced,liblinear,ratio,LogisticRegression,1,,,,,,
0.7392970071374111,0.023355559724465718,9,0.01,balanced,lbfgs,ratio,LogisticRegression,1,,,,,,
0.8405795814250195,0.00596260339142794,1,0.01,,liblinear,ratio,LogisticRegression,1,,,,,,
0.8346676102525319,0.007985533737750135,8,0.01,,lbfgs,ratio,LogisticRegression,1,,,,,,
0.7207705737806108,0.014985097570327894,16,0.1,balanced,liblinear,ratio,LogisticRegression,1,,,,,,
0.7223304428942777,0.014491468571993975,15,0.1,balanced,lbfgs,ratio,LogisticRegression,1,,,,,,
0.8387373556311873,0.00663827717795185,2,0.1,,liblinear,ratio,LogisticRegression,1,,,,,,
0.8380723390057716,0.007204811655288007,7,0.1,,lbfgs,ratio,LogisticRegression,1,,,,,,
0.723791546554696,0.012120022112342442,14,1.0,balanced,liblinear,ratio,LogisticRegression,1,,,,,,
0.7253007505118505,0.012168689685365114,13,1.0,balanced,lbfgs,ratio,LogisticRegression,1,,,,,,
0.838654951500245,0.007683482754655974,3,1.0,,liblinear,ratio,LogisticRegression,1,,,,,,
0.838654951500245,0.007683482754655974,3,1.0,,lbfgs,ratio,LogisticRegression,1,,,,,,
0.7291567577624709,0.008412750290979619,11,10.0,balanced,liblinear,ratio,LogisticRegression,1,,,,,,
0.7291567577624709,0.008412750290979619,11,10.0,balanced,lbfgs,ratio,LogisticRegression,1,,,,,,
0.8385021220111012,0.008774115768470295,5,10.0,,liblinear,ratio,LogisticRegression,1,,,,,,
0.8385021220111012,0.008774115768470295,5,10.0,,lbfgs,ratio,LogisticRegression,1,,,,,,
0.7133563260803838,0.021953262843717295,12,0.01,balanced,liblinear,ratio,LogisticRegression,2,,,,,,
0.7180507994628338,0.02167015326655843,9,0.01,balanced,lbfgs,ratio,LogisticRegression,2,,,,,,
0.8336145170294282,0.0062717835084877506,1,0.01,,liblinear,ratio,LogisticRegression,2,,,,,,
0.8265627116069652,0.006177948996871211,8,0.01,,lbfgs,ratio,LogisticRegression,2,,,,,,
0.705177987179047,0.015935349443590468,15,0.1,balanced,liblinear,ratio,LogisticRegression,2,,,,,,
0.7039449806161082,0.017006242604691007,16,0.1,balanced,lbfgs,ratio,LogisticRegression,2,,,,,,
0.8281365177650006,0.006688687651246958,7,0.1,,liblinear,ratio,LogisticRegression,2,,,,,,
0.8306203697115846,0.005491115268397922,4,0.1,,lbfgs,ratio,LogisticRegression,2,,,,,,
0.7111290955066208,0.01772364505140063,13,1.0,balanced,liblinear,ratio,LogisticRegression,2,,,,,,
0.7111290955066208,0.01772364505140063,13,1.0,balanced,lbfgs,ratio,LogisticRegression,2,,,,,,
0.8309504978140219,0.008597426298248775,2,1.0,,liblinear,ratio,LogisticRegression,2,,,,,,
0.8309504978140219,0.008597426298248775,2,1.0,,lbfgs,ratio,LogisticRegression,2,,,,,,
0.7151839983523969,0.01373830138868594,10,10.0,balanced,liblinear,ratio,LogisticRegression,2,,,,,,
0.7147530247760228,0.01341629142893747,11,10.0,balanced,lbfgs,ratio,LogisticRegression,2,,,,,,
0.8305497583543044,0.009061994523733725,5,10.0,,liblinear,ratio,LogisticRegression,2,,,,,,
0.8305497583543044,0.009061994523733725,5,10.0,,lbfgs,ratio,LogisticRegression,2,,,,,,
0.728394825646647,0.023200627611030433,14,0.01,balanced,liblinear,ratio,LogisticRegression,3,,,,,,
0.7353263394806422,0.02020186881670332,9,0.01,balanced,lbfgs,ratio,LogisticRegression,3,,,,,,
0.8360948934852411,0.011060870467057147,3,0.01,,liblinear,ratio,LogisticRegression,3,,,,,,
0.8329423502349489,0.009334057421863936,7,0.01,,lbfgs,ratio,LogisticRegression,3,,,,,,
0.7221331593151492,0.024490721592307318,16,0.1,balanced,liblinear,ratio,LogisticRegression,3,,,,,,
0.7225017407058255,0.023060043623179993,15,0.1,balanced,lbfgs,ratio,LogisticRegression,3,,,,,,
0.8326890404348587,0.009211545854374658,8,0.1,,liblinear,ratio,LogisticRegression,3,,,,,,
0.8340038288117751,0.009629574903999462,6,0.1,,lbfgs,ratio,LogisticRegression,3,,,,,,
0.7303577095664346,0.028903025974452982,10,1.0,balanced,liblinear,ratio,LogisticRegression,3,,,,,,
0.7288677442215726,0.028506372976074616,13,1.0,balanced,lbfgs,ratio,LogisticRegression,3,,,,,,
0.8356551480110979,0.01171289736096925,4,1.0,,liblinear,ratio,LogisticRegression,3,,,,,,
0.8356551480110979,0.01171289736096925,4,1.0,,lbfgs,ratio,LogisticRegression,3,,,,,,
0.7297875106168893,0.02384452462189167,11,10.0,balanced,liblinear,ratio,LogisticRegression,3,,,,,,
0.7297875106168893,0.02384452462189167,11,10.0,balanced,lbfgs,ratio,LogisticRegression,3,,,,,,
0.8373115753576881,0.012571696723966254,1,10.0,,liblinear,ratio,LogisticRegression,3,,,,,,
0.8373115753576881,0.012571696723966254,1,10.0,,lbfgs,ratio,LogisticRegression,3,,,,,,
0.7982397541208085,0.018469325933334786,18,,,,ratio,KNN,1,euclidean,3.0,uniform,,,
0.7987186485769007,0.019862274099451065,17,,,,ratio,KNN,1,euclidean,3.0,distance,,,
0.8184347889381659,0.013577257966942828,14,,,,ratio,KNN,1,euclidean,5.0,uniform,,,
0.8195694940893411,0.012068176303997239,13,,,,ratio,KNN,1,euclidean,5.0,distance,,,
0.8336954827639298,0.009916559555599584,9,,,,ratio,KNN,1,euclidean,7.0,uniform,,,
0.8351181576885238,0.0109694657678854,7,,,,ratio,KNN,1,euclidean,7.0,distance,,,
0.8362446314551096,0.009096990505387606,5,,,,ratio,KNN,1,euclidean,9.0,uniform,,,
0.8382452362205448,0.010091516333582901,3,,,,ratio,KNN,1,euclidean,9.0,distance,,,
0.8355126098070189,0.011083615198668715,6,,,,ratio,KNN,1,euclidean,11.0,uniform,,,
0.8381072455602627,0.009921381165122907,4,,,,ratio,KNN,1,euclidean,11.0,distance,,,
0.7973532341838141,0.011475690301493587,19,,,,ratio,KNN,1,manhattan,3.0,uniform,,,
0.7941074423207404,0.010406088526232761,20,,,,ratio,KNN,1,manhattan,3.0,distance,,,
0.816284974868719,0.01226712003055261,15,,,,ratio,KNN,1,manhattan,5.0,uniform,,,
0.8136474842508543,0.01721557481563704,16,,,,ratio,KNN,1,manhattan,5.0,distance,,,
0.8304967179631879,0.015797530637453854,11,,,,ratio,KNN,1,manhattan,7.0,uniform,,,
0.8299223651281921,0.016904318300964935,12,,,,ratio,KNN,1,manhattan,7.0,distance,,,
0.8346471439942235,0.011369822557750497,8,,,,ratio,KNN,1,manhattan,9.0,uniform,,,
0.8335413786102484,0.010990293794074917,10,,,,ratio,KNN,1,manhattan,9.0,distance,,,
0.842290889887846,0.010785151387549935,1,,,,ratio,KNN,1,manhattan,11.0,uniform,,,
0.8410668586571616,0.010874809946385218,2,,,,ratio,KNN,1,manhattan,11.0,distance,,,
0.7937804123409558,0.011224272825214649,17,,,,ratio,KNN,2,euclidean,3.0,uniform,,,
0.7934995521982187,0.013069737697156272,18,,,,ratio,KNN,2,euclidean,3.0,distance,,,
0.8188487474970664,0.006742081921908879,13,,,,ratio,KNN,2,euclidean,5.0,uniform,,,
0.8180382436595395,0.005806590017369924,14,,,,ratio,KNN,2,euclidean,5.0,distance,,,
0.8275726275632642,0.00878673594886282,9,,,,ratio,KNN,2,euclidean,7.0,uniform,,,
0.8265120907727989,0.007493501231595732,10,,,,ratio,KNN,2,euclidean,7.0,distance,,,
0.8332003496377206,0.008256783458312716,6,,,,ratio,KNN,2,euclidean,9.0,uniform,,,
0.8356068375051553,0.010136210454550485,2,,,,ratio,KNN,2,euclidean,9.0,distance,,,
0.8339741883657779,0.010992011666587026,5,,,,ratio,KNN,2,euclidean,11.0,uniform,,,
0.8345169302779503,0.009355954690141865,3,,,,ratio,KNN,2,euclidean,11.0,distance,,,
0.7894727312422607,0.01563225566661967,19,,,,ratio,KNN,2,manhattan,3.0,uniform,,,
0.7820331877631636,0.01045880331901436,20,,,,ratio,KNN,2,manhattan,3.0,distance,,,
0.8116350846423803,0.008501865802902431,15,,,,ratio,KNN,2,manhattan,5.0,uniform,,,
0.8072778212279765,0.00931019504183586,16,,,,ratio,KNN,2,manhattan,5.0,distance,,,
0.8242773239226817,0.013148058316999344,11,,,,ratio,KNN,2,manhattan,7.0,uniform,,,
