dataset,model,run_id,accuracy,precision,recall,f1,roc_auc,best_params
ratio,LogisticRegression,4,0.7444933920704846,0.7365853658536585,0.9741935483870968,0.8388888888888889,0.6335125448028673,"{'C': 0.01, 'class_weight': None, 'solver': 'liblinear'}"
ratio,LogisticRegression,5,0.7400881057268722,0.7474226804123711,0.9354838709677419,0.830945558739255,0.6448028673835126,"{'C': 0.01, 'class_weight': None, 'solver': 'liblinear'}"
ratio,LogisticRegression,6,0.7400881057268722,0.7285714285714285,0.9870967741935484,0.8383561643835616,0.618010752688172,"{'C': 0.01, 'class_weight': None, 'solver': 'lbfgs'}"
ratio,LogisticRegression,7,0.73568281938326,0.7339901477832512,0.9612903225806452,0.8324022346368715,0.663888888888889,"{'C': 0.01, 'class_weight': None, 'solver': 'liblinear'}"
ratio,LogisticRegression,8,0.73568281938326,0.7386934673366834,0.9483870967741935,0.8305084745762712,0.5849462365591398,"{'C': 0.01, 'class_weight': None, 'solver': 'liblinear'}"
ratio,LogisticRegression,9,0.7312775330396476,0.735,0.9483870967741935,0.828169014084507,0.6199820788530466,"{'C': 0.01, 'class_weight': None, 'solver': 'liblinear'}"
ratio,LogisticRegression,10,0.7400881057268722,0.74,0.9548387096774194,0.8338028169014085,0.6238351254480287,"{'C': 0.01, 'class_weight': None, 'solver': 'liblinear'}"
ratio,KNN,1,0.7312775330396476,0.7397959183673469,0.9354838709677419,0.8262108262108262,0.6990143369175628,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'uniform'}"
ratio,KNN,2,0.775330396475771,0.776595744680851,0.9419354838709677,0.8513119533527697,0.7293010752688172,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}"
ratio,KNN,3,0.762114537444934,0.7563451776649747,0.9612903225806452,0.8465909090909091,0.6622311827956989,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}"
ratio,KNN,4,0.7577092511013216,0.7551020408163265,0.9548387096774194,0.8433048433048433,0.6695788530465949,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'uniform'}"
ratio,KNN,5,0.7180616740088106,0.7486338797814208,0.8838709677419355,0.8106508875739645,0.6862455197132616,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}"
ratio,KNN,6,0.7665198237885462,0.7524752475247525,0.9806451612903225,0.8515406162464986,0.6477598566308245,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'uniform'}"
ratio,KNN,7,0.762114537444934,0.7643979057591623,0.9419354838709677,0.8439306358381503,0.6921594982078854,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}"
ratio,KNN,8,0.73568281938326,0.7461139896373057,0.9290322580645162,0.8275862068965517,0.6660394265232975,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}"
ratio,KNN,9,0.7312775330396476,0.7397959183673469,0.9354838709677419,0.8262108262108262,0.6965949820788532,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'uniform'}"
ratio,KNN,10,0.7665198237885462,0.7684210526315789,0.9419354838709677,0.8463768115942029,0.7063172043010753,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}"
ratio,RandomForest,1,0.7533039647577092,0.7564766839378239,0.9419354838709677,0.8390804597701149,0.6795250896057349,"{'class_weight': 'balanced_subsample', 'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}"
ratio,RandomForest,2,0.788546255506608,0.7772020725388601,0.967741935483871,0.8620689655172413,0.7269713261648745,"{'class_weight': None, 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}"
ratio,RandomForest,3,0.7665198237885462,0.7575757575757576,0.967741935483871,0.8498583569405099,0.6506272401433691,"{'class_weight': 'balanced_subsample', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}"
ratio,RandomForest,4,0.7709251101321586,0.7587939698492462,0.9741935483870968,0.8531073446327684,0.6484767025089606,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}"
ratio,RandomForest,5,0.7533039647577092,0.7647058823529411,0.9225806451612903,0.8362573099415205,0.7076164874551971,"{'class_weight': None, 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}"
ratio,RandomForest,6,0.748898678414097,0.7552083333333334,0.9354838709677419,0.8357348703170029,0.652016129032258,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 50}"
ratio,RandomForest,7,0.7665198237885462,0.7684210526315789,0.9419354838709677,0.8463768115942029,0.6727598566308244,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}"
ratio,RandomForest,8,0.7709251101321586,0.7562189054726368,0.9806451612903225,0.8539325842696629,0.6092741935483872,"{'class_weight': 'balanced_subsample', 'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}"
ratio,RandomForest,9,0.73568281938326,0.7435897435897436,0.9354838709677419,0.8285714285714286,0.6559139784946236,"{'class_weight': 'balanced_subsample', 'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}"
ratio,RandomForest,10,0.7709251101321586,0.7587939698492462,0.9741935483870968,0.8531073446327684,0.6490143369175627,"{'class_weight': None, 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}"
threshold,LogisticRegression,1,0.7312775330396476,0.735,0.9483870967741935,0.828169014084507,0.594310035842294,"{'C': 0.01, 'class_weight': None, 'solver': 'liblinear'}"
threshold,LogisticRegression,2,0.7709251101321586,0.7587939698492462,0.9741935483870968,0.8531073446327684,0.7099462365591398,"{'C': 0.1, 'class_weight': None, 'solver': 'lbfgs'}"
threshold,LogisticRegression,3,0.7312775330396476,0.7303921568627451,0.9612903225806452,0.83008356545961,0.6372759856630825,"{'C': 0.01, 'class_weight': None, 'solver': 'liblinear'}"
threshold,LogisticRegression,4,0.7400881057268722,0.7352941176470589,0.967741935483871,0.8356545961002786,0.6335125448028674,"{'C': 10, 'class_weight': None, 'solver': 'liblinear'}"
threshold,LogisticRegression,5,0.7268722466960352,0.7409326424870466,0.9225806451612903,0.8218390804597702,0.6432795698924731,"{'C': 0.1, 'class_weight': None, 'solver': 'liblinear'}"
threshold,LogisticRegression,6,0.73568281938326,0.7294685990338164,0.9741935483870968,0.8342541436464088,0.6209677419354838,"{'C': 10, 'class_weight': None, 'solver': 'liblinear'}"
