dataset,model,run_id,f1,recall,accuracy
threshold,KNN,3,0.8255813953488372,0.9161290322580644,0.73568281938326
threshold,KNN,4,0.8418079096045198,0.9612903225806452,0.7533039647577092
threshold,KNN,5,0.8082595870206489,0.8838709677419355,0.7136563876651982
threshold,KNN,6,0.8571428571428571,0.9870967741935484,0.775330396475771
threshold,KNN,7,0.8414985590778098,0.9419354838709676,0.7577092511013216
threshold,KNN,8,0.836676217765043,0.9419354838709676,0.748898678414097
threshold,KNN,9,0.8173913043478261,0.9096774193548388,0.7224669603524229
threshold,KNN,10,0.8522727272727273,0.967741935483871,0.7709251101321586
threshold,RandomForest,1,0.8319088319088319,0.9419354838709676,0.7400881057268722
threshold,RandomForest,2,0.8579710144927536,0.9548387096774194,0.7841409691629956
threshold,RandomForest,3,0.8441926345609065,0.9612903225806452,0.7577092511013216
threshold,RandomForest,4,0.8571428571428571,0.967741935483871,0.7797356828193832
threshold,RandomForest,5,0.8392857142857143,0.9096774193548388,0.762114537444934
threshold,RandomForest,6,0.8521739130434782,0.9483870967741936,0.775330396475771
threshold,RandomForest,7,0.8538681948424068,0.9612903225806452,0.775330396475771
threshold,RandomForest,8,0.847457627118644,0.967741935483871,0.762114537444934
threshold,RandomForest,9,0.829971181556196,0.9290322580645162,0.7400881057268722
threshold,RandomForest,10,0.8481375358166189,0.9548387096774194,0.7665198237885462
statistical,LogisticRegression,1,0.8235294117647058,0.9483870967741936,0.7224669603524229
statistical,LogisticRegression,2,0.847457627118644,0.967741935483871,0.762114537444934
statistical,LogisticRegression,3,0.8435754189944135,0.9741935483870968,0.7533039647577092
statistical,LogisticRegression,4,0.8356545961002786,0.967741935483871,0.7400881057268722
statistical,LogisticRegression,5,0.8352272727272727,0.9483870967741936,0.7444933920704846
statistical,LogisticRegression,6,0.8461538461538461,0.9935483870967742,0.7533039647577092
statistical,LogisticRegression,7,0.8388888888888889,0.9741935483870968,0.7444933920704846
statistical,LogisticRegression,8,0.8338028169014085,0.9548387096774194,0.7400881057268722
statistical,LogisticRegression,9,0.8352272727272727,0.9483870967741936,0.7444933920704846
statistical,LogisticRegression,10,0.8441926345609065,0.9612903225806452,0.7577092511013216
statistical,KNN,1,0.8295454545454546,0.9419354838709676,0.73568281938326
statistical,KNN,2,0.8405797101449275,0.935483870967742,0.7577092511013216
statistical,KNN,3,0.8441926345609065,0.9612903225806452,0.7577092511013216
statistical,KNN,4,0.8433048433048433,0.9548387096774194,0.7577092511013216
statistical,KNN,5,0.8323699421965318,0.9290322580645162,0.7444933920704846
statistical,KNN,6,0.8595505617977528,0.9870967741935484,0.7797356828193832
statistical,KNN,7,0.836676217765043,0.9419354838709676,0.748898678414097
statistical,KNN,8,0.8285714285714286,0.935483870967742,0.73568281938326
statistical,KNN,9,0.8208092485549133,0.9161290322580644,0.7268722466960352
statistical,KNN,10,0.8390804597701149,0.9419354838709676,0.7533039647577092
statistical,RandomForest,1,0.8347826086956521,0.9290322580645162,0.748898678414097
statistical,RandomForest,2,0.8695652173913043,0.967741935483871,0.801762114537445
statistical,RandomForest,3,0.8465909090909091,0.9612903225806452,0.762114537444934
statistical,RandomForest,4,0.8531073446327684,0.9741935483870968,0.7709251101321586
statistical,RandomForest,5,0.8338192419825073,0.9225806451612903,0.748898678414097
statistical,RandomForest,6,0.8289855072463768,0.9225806451612903,0.7400881057268722
statistical,RandomForest,7,0.8547008547008547,0.967741935483871,0.775330396475771
statistical,RandomForest,8,0.8409090909090909,0.9548387096774194,0.7533039647577092
statistical,RandomForest,9,0.8390804597701149,0.9419354838709676,0.7533039647577092
statistical,RandomForest,10,0.8481375358166189,0.9548387096774194,0.7665198237885462
