MLR,NPR
0.06382978723404255,0.00042857142857142855
0.12244897959183673,0.0004895833333333333
0.08333333333333333,0.00022282608695652173
0.14285714285714285,0.00027544910179640717
0.08695652173913043,0.00029032258064516127
0.045454545454545456,0.0005952380952380953
0.07142857142857142,0.0004673913043478261
0.075,0.00046666666666666666
0.14583333333333334,0.0002542372881355932
0.06666666666666667,0.00019090909090909092
0.061224489795918366,0.0001956521739130435
0.04878048780487805,0.000625
0.10869565217391304,0.000275
0.10204081632653061,0.00029559748427672954
0.0625,0.0002764705882352941
0.0851063829787234,0.000275
0.04878048780487805,0.00034090909090909094
0.07142857142857142,0.00040833333333333336
0.06521739130434782,0.00026219512195121953
0.08333333333333333,0.00022459893048128342
0.06521739130434782,0.0002631578947368421
0.04878048780487805,0.0003333333333333333
0.04878048780487805,0.00035833333333333333
0.045454545454545456,0.0003380281690140845
0.06382978723404255,0.00022164948453608249
0.04878048780487805,0.0005662650602409638
0.047619047619047616,0.0004631578947368421
0.05,0.00047252747252747254
0.047619047619047616,0.0004886363636363636
0.046511627906976744,0.0004054054054054054
0.07317073170731707,0.0003333333333333333
0.061224489795918366,0.0002586206896551724
0.07317073170731707,0.00040952380952380955
0.0851063829787234,0.00028125
0.04878048780487805,0.0005054945054945055
0.07142857142857142,0.0003120567375886525
0.06818181818181818,0.0005333333333333334
0.08888888888888889,0.00022527472527472529
0.07142857142857142,0.0003692307692307692
0.08695652173913043,0.0003333333333333333
0.07317073170731707,0.0005487804878048781
0.06382978723404255,0.00048484848484848484
0.0625,0.00022395833333333333
0.0851063829787234,0.00024193548387096774
0.08163265306122448,0.0002690058479532164
0.07317073170731707,0.000625
0.08333333333333333,0.00025925925925925926
0.06666666666666667,0.0005454545454545455
0.08333333333333333,0.00023036649214659686
0.07317073170731707,0.0005316455696202532
0.15625,0.00024390243902439024
0.16363636363636364,0.0002
0.13793103448275862,0.0008571428571428571
0.05714285714285714,0.0006547619047619047
0.08163265306122448,0.00023195876288659793
0.058823529411764705,0.0006257668711656442
0.05,0.0003983739837398374
0.06521739130434782,0.0003401360544217687
0.08108108108108109,0.000415929203539823
0.0625,0.00045871559633027525
0.06666666666666667,0.0005972222222222222
0.04878048780487805,0.0005714285714285715
